sector,market_cap,country,industry,p_e,n,volume,price,ticker,company,change
Financial,-,USA,Exchange Traded Fund,-,2879,"20,825",25.95,HEFA,iShares Currency Hedged MSCI EAFE,0.00%
Industrial Goods,3.27B,USA,Aerospace/Defense Products & Services,29.95,2880,"86,818",53.01,HEI,HEICO Corporation,-0.77%
Basic Materials,1.97B,USA,Oil & Gas Pipelines,31.45,2885,"61,730",33.65,HEP,Holly Energy Partners L.P,-3.50%
Basic Materials,199.40M,USA,Oil & Gas Drilling & Exploration,-,2886,"4,439,859",1.24,HERO,"Hercules Offshore, Inc.",-10.14%
Basic Materials,21.80B,USA,Independent Oil & Gas,9.14,2887,"4,428,573",72.93,HES,Hess Corporation,-9.77%
Financial,-,USA,Exchange Traded Fund,-,2888,"34,806",24.89,HEWG,iShares Currency Hedged MSCI Germany,0.20%
Financial,-,USA,Exchange Traded Fund,-,2889,"21,357",28.04,HEWJ,iShares Currency Hedged MSCI Japan,0.43%
Financial,1.30B,USA,Property Management,22.99,2890,"105,528",34.48,HF,"HFF, Inc.",0.44%
Financial,84.36M,USA,Savings & Loans,19.83,2891,"1,700",11.70,HFBC,HopFed Bancorp Inc.,0.00%
Financial,-,USA,Savings & Loans,-,2892,0,-,HFBL,"Home Federal Bancorp, Inc. of Louisiana",-
Basic Materials,7.99B,USA,Oil & Gas Refining & Marketing,14.42,2893,"2,276,309",40.82,HFC,HollyFrontier Corporation,-5.84%
Financial,97.78M,USA,Savings & Loans,13.19,2894,0,13.85,HFFC,HF Financial Corp.,0.00%
Financial,-,USA,Exchange Traded Fund,-,2895,0,42.48,HFIN,Horizons S&P Fincl Sel Sect Cov Call ETF,0.00%
Financial,512.30M,USA,Regional - Pacific Banks,32.56,2896,"40,435",16.93,HFWA,Heritage Financial Corp.,-2.87%
Services,180.28M,USA,"Specialty Retail, Other",-,2897,"131,546",6.35,HGG,"hhgregg, Inc.",-2.46%
Financial,-,USA,Exchange Traded Fund,-,2898,"3,906",17.85,HGI,Guggenheim Intl Multi-Asset Inc ETF,-1.87%
Healthcare,39.22M,USA,Specialized Health Services,-,2902,"26,301",0.55,HH,Hooper Holmes Inc.,-0.32%
Financial,5.79B,USA,Real Estate Development,-,2903,"69,907",146.04,HHC,The Howard Hughes Corporation,-2.05%
Services,379.87M,USA,Marketing Services,18.55,2904,"94,612",6.12,HHS,Harte-Hanks Inc.,-3.01%
Financial,-,USA,Closed-End Fund - Debt,-,2905,"34,352",9.45,HHY,Brookfield High Income Fund Inc,0.11%
Industrial Goods,2.02B,USA,Diversified Machinery,18.70,2906,"173,148",32.16,HI,"Hillenbrand, Inc.",-2.37%
Services,1.26B,USA,Sporting Goods Stores,18.44,2907,"184,785",50.17,HIBB,"Hibbett Sports, Inc.",0.34%
Financial,182.72M,USA,Savings & Loans,8.66,2908,0,86.19,HIFS,Hingham Institution for Savings,0.00%
Financial,17.82B,USA,Property & Casualty Insurance,14.39,2909,"1,716,510",41.30,HIG,"The Hartford Financial Services Group, Inc.",0.41%
Industrial Goods,11.94M,Hong Kong,Metal Fabrication,16.58,2910,"5,055",3.15,HIHO,Highway Holdings Limited,-0.51%
Industrial Goods,5.26B,USA,Aerospace/Defense Products & Services,14.30,2911,"106,721",108.97,HII,"Huntington Ingalls Industries, Inc.",-0.43%
Healthcare,107.97M,USA,Health Care Plans,735.00,2912,"24,459",7.35,HIIQ,"Health Insurance Innovations, Inc.",0.41%
Services,183.89M,USA,Management Services,-,2913,"109,266",3.65,HIL,"Hill International, Inc.",-1.88%
Technology,282.02M,USA,Data Storage Devices,155.33,2914,"183,307",4.66,HILL,Dot Hill Systems Corp.,-4.12%
Financial,-,USA,Exchange Traded Fund,-,2915,"3,046",15.43,HILO,EGShares Low Volatility EM Dividend ETF,-1.72%
Healthcare,756.97M,USA,Specialized Health Services,13.00,2899,"77,849",21.45,HGR,"Hanger, Inc.",-0.56%
Financial,172.95M,China,Real Estate Development,5.41,2900,"27,510",3.84,HGSH,China HGS Real Estate Inc.,-1.79%
Technology,1.17B,Taiwan,Semiconductor - Specialized,12.87,2916,"1,470,437",6.82,HIMX,"Himax Technologies, Inc.",-1.16%
Financial,-,USA,Closed-End Fund - Debt,-,2917,"228,470",5.61,HIO,Western Asset High Income Opportunity Fund Inc.,-0.18%
Technology,223.58M,USA,Communication Equipment,-,2918,"69,202",4.87,HIVE,"Aerohive Networks, Inc.",0.62%
Financial,3.94B,USA,REIT - Office,38.88,2919,"411,549",43.16,HIW,Highwoods Properties Inc.,0.07%
Financial,-,USA,Closed-End Fund - Debt,-,2920,"195,008",8.49,HIX,Western Asset High Income Fund II Inc.,-0.82%
Basic Materials,958.89M,USA,Oil & Gas Drilling & Exploration,-,2921,"9,798,562",2.27,HK,Halcon Resources Corp.,-20.91%
Financial,-,USA,Exchange Traded Fund,-,2922,200,33.12,HKOR,Horizons Korea KOSPI 200 ETF,-1.13%
Services,14.11B,USA,Lodging,28.52,2961,"918,209",79.00,HOT,Starwood Hotels & Resorts Worldwide Inc.,1.46%
Services,12.51M,USA,Restaurants,-,2962,"54,388",1.73,HOTR,"Chanticleer Holdings, Inc.",-5.46%
Industrial Goods,615.63M,USA,Residential Construction,33.08,2963,"1,063,773",4.30,HOV,Hovnanian Enterprises Inc.,-1.83%
Services,437.84M,Hong Kong,Broadcasting - TV,-,2923,"39,290",10.87,HKTV,Hong Kong Television Network Limited,-4.57%
Basic Materials,867.04M,USA,Silver,-,2924,"5,955,736",2.36,HL,Hecla Mining Co.,-8.88%
Consumer Goods,3.97B,Cayman Islands,Personal Products,12.95,2925,"1,804,813",43.25,HLF,Herbalife Ltd.,-0.32%
Technology,616.35M,USA,Communication Equipment,-,2926,"273,422",7.00,HLIT,Harmonic Inc.,-2.91%
Healthcare,3.61B,USA,Specialized Health Services,27.06,2927,"245,263",41.13,HLS,HEALTHSOUTH Corp.,1.33%
Financial,1.39B,Cayman Islands,Mortgage Investment,7.13,2928,"204,614",19.54,HLSS,"Home Loan Servicing Solutions, Ltd.",-1.06%
Services,25.82B,USA,Lodging,46.82,2929,"1,541,207",26.22,HLT,Hilton Worldwide Holdings Inc.,0.77%
Basic Materials,2.41B,USA,Oil & Gas Equipment & Services,10.84,2930,"1,086,980",22.87,HLX,"Helix Energy Solutions Group, Inc.",-10.38%
Consumer Goods,54.20B,Japan,Auto Manufacturers - Major,10.38,2931,"2,002,956",30.32,HMC,"Honda Motor Co., Ltd.",-2.10%
Financial,3.74B,USA,REIT - Residential,42.33,2932,"161,171",65.19,HME,Home Properties Inc.,-0.08%
Financial,13.33M,USA,REIT - Retail,-,2933,701,12.70,HMG,HMG/Courtland Properties Inc.,0.16%
Services,2.72B,USA,Education & Training Services,-,2934,"285,949",19.22,HMHC,Houghton Mifflin Harcourt Company,-1.44%
Services,1.47B,China,Lodging,29.96,2935,"113,877",30.86,HMIN,Homeinns Hotel Group,-1.88%
Basic Materials,7.53B,USA,Oil & Gas Drilling & Exploration,10.77,2964,"2,847,442",69.55,HP,"Helmerich & Payne, Inc.",-10.52%
Financial,-,USA,Closed-End Fund - Debt,-,2965,"41,176",20.79,HPF,John Hancock Preferred Income Fund II,0.43%
Financial,-,USA,Closed-End Fund - Debt,-,2966,"48,040",21.02,HPI,John Hancock Preferred Income Fund,0.24%
Industrial Goods,82.78M,China,Industrial Electrical Equipment,42.31,2967,"162,472",5.50,HPJ,"Highpower International, Inc.",-2.48%
Financial,1.89B,USA,REIT - Office,148.00,2968,"210,333",28.12,HPP,"Hudson Pacific Properties, Inc.",1.48%
Technology,72.90B,USA,Diversified Computer Systems,14.74,2969,"7,701,533",39.06,HPQ,Hewlett-Packard Company,-0.26%
Financial,-,USA,Closed-End Fund - Debt,-,2970,"74,594",18.35,HPS,John Hancock Preferred Income Fund III,0.88%
Financial,4.59B,USA,REIT - Retail,29.71,2971,"383,614",30.60,HPT,Hospitality Properties Trust,0.49%
Healthcare,424.76M,USA,Biotechnology,-,2972,"162,227",20.49,HPTX,"Hyperion Therapeutics, Inc.",-0.05%
Services,1.97B,USA,Business Services,28.54,2973,"110,796",54.52,HPY,"Heartland Payment Systems, Inc.",-0.31%
Financial,922.49M,USA,Closed-End Fund - Equity,4.06,2974,"68,999",32.62,HQH,Tekla Healthcare Investors,0.65%
Financial,383.17M,USA,Closed-End Fund - Equity,4.07,2975,"37,248",25.06,HQL,H&Q Life Sciences Investors,0.20%
Technology,1.36B,USA,Healthcare Information Services,165.53,2976,"83,846",24.83,HQY,"HealthEquity, Inc.",5.52%
Financial,2.59B,USA,REIT - Healthcare Facilities,73.36,2977,"319,373",26.41,HR,Healthcare Realty Trust Incorporated,0.23%
Services,9.25B,USA,Personal Services,18.59,2978,"705,046",33.64,HRB,"H&R Block, Inc.",0.66%
Healthcare,2.63B,USA,Medical Instruments & Supplies,44.43,2979,"212,469",45.76,HRC,"Hill-Rom Holdings, Inc.",-0.65%
Financial,242.37M,USA,Savings & Loans,15.53,2941,"22,464",16.31,HMST,"HomeStreet, Inc.",-1.87%
Consumer Goods,13.98B,USA,Meat Products,24.35,2981,"723,766",53.08,HRL,Hormel Foods Corporation,0.68%
Technology,7.50B,USA,Communication Equipment,14.36,2982,"306,367",71.67,HRS,Harris Corporation,0.14%
Services,1.41B,USA,Air Delivery & Freight Services,26.87,3021,"123,483",37.62,HUBG,Hub Group Inc.,0.48%
Technology,1.11B,USA,Application Software,-,3022,"39,802",35.39,HUBS,"HubSpot, Inc.",-0.31%
Healthcare,21.16B,USA,Health Care Plans,22.22,3023,"814,529",137.97,HUM,Humana Inc.,0.35%
Basic Materials,6.23B,USA,Chemicals - Major Diversified,15.28,3024,"3,736,622",25.52,HUN,Huntsman Corporation,-2.74%
Financial,3.15B,USA,REIT - Healthcare Facilities,106.33,3001,"694,516",12.76,HTA,"Healthcare Trust of America, Inc.",-1.01%
Financial,320.82M,USA,Regional - Northeast Banks,31.30,3002,"38,344",15.65,HTBI,"HomeTrust Bancshares, Inc.",-0.95%
Financial,217.78M,USA,Regional - Pacific Banks,20.10,3003,"11,704",8.24,HTBK,Heritage Commerce Corp.,-2.83%
Healthcare,32.40M,USA,Biotechnology,-,3004,"10,708",5.00,HTBX,"Heat Biologics, Inc.",0.60%
Services,484.10M,Bermuda,Shipping,15.86,2936,"19,407",18.40,HMLP,Haegh LNG Partners LP,-9.05%
Financial,1.31B,USA,Property & Casualty Insurance,12.23,2937,"62,112",31.30,HMN,Horace Mann Educators Corp.,0.19%
Financial,56.99M,USA,Savings & Loans,6.41,2938,0,12.75,HMNF,HMN Financial Inc.,0.00%
Technology,5.73M,USA,Information Technology Services,-,2939,"3,652",2.45,HMNY,Helios and Matheson Analytics Inc.,-6.84%
Financial,274.18M,USA,Regional - Mid-Atlantic Banks,26.83,2940,"34,796",1.61,HMPR,Hampton Roads Bankshares Inc.,-3.01%
Conglomerates,2.83B,USA,Conglomerates,-,2980,"297,704",13.72,HRG,Harbinger Group Inc.,-0.58%
Services,1.83B,USA,Business Services,67.29,2942,"349,096",20.86,HMSY,HMS Holdings Corp.,-0.19%
Services,152.83M,USA,CATV Systems,63.05,2943,"19,474",12.61,HMTV,"Hemisphere Media Group, Inc.",-1.56%
Basic Materials,743.41M,South Africa,Gold,-,2944,"2,488,755",1.71,HMY,Harmony Gold Mining Company Limited,-2.84%
Industrial Goods,401.99M,USA,Industrial Equipment & Components,13.66,2945,"16,678",37.29,HNH,Handy & Harman Ltd.,-2.99%
Consumer Goods,2.08B,USA,Business Equipment,27.78,2946,"75,488",46.94,HNI,HNI Corp.,-1.96%
Financial,117.36M,USA,Asset Management,16.86,2947,"1,470",19.56,HNNA,"Hennessy Advisors, Inc.",-0.31%
Utilities,15.59B,China,Electric Utilities,8.85,2948,"40,860",47.81,HNP,"Huaneng Power International, Inc.",-0.85%
Basic Materials,94.17M,USA,Independent Oil & Gas,-,2949,"276,623",2.22,HNR,Harvest Natural Resources Inc.,-13.28%
Basic Materials,313.70M,USA,Nonmetallic Mineral Mining,60.56,2950,"15,871",10.90,HNRG,Hallador Energy Company,-6.76%
Healthcare,110.78M,USA,Medical Appliances & Equipment,-,2951,"37,590",0.84,HNSN,"Hansen Medical, Inc.",-3.92%
Healthcare,4.00B,USA,Health Care Plans,25.95,2952,"361,228",51.38,HNT,"Health Net, Inc.",0.00%
Consumer Goods,165.60M,USA,Home Furnishings & Fixtures,18.11,2953,"2,394",15.39,HOFT,Hooker Furniture Corp.,0.46%
Consumer Goods,14.93B,USA,Recreational Vehicles,18.10,2954,"925,522",69.68,HOG,"Harley-Davidson, Inc.",2.04%
Financial,-,USA,Exchange Traded Fund,-,2955,0,99.45,HOLD,AdvisorShares Sage Core Reserves ETF,0.00%
Industrial Goods,1.47B,China,Industrial Electrical Equipment,21.44,2956,"419,859",25.51,HOLI,"HollySys Automation Technologies, Ltd.",-1.66%
Healthcare,19.74M,USA,Medical Appliances & Equipment,35.90,2983,0,7.18,HRT,Arrhythmia Research Technology Inc.,0.00%
Financial,515.30M,USA,Property & Casualty Insurance,13.88,2984,"41,071",17.35,HRTG,"Heritage Insurance Holdings, Inc.",-1.25%
Healthcare,224.98M,USA,Drug Manufacturers - Major,-,2985,"42,784",7.71,HRTX,"Heron Therapeutics, Inc.",-2.16%
Financial,135.30M,USA,Asset Management,17.35,2986,"14,773",14.05,HRZN,Horizon Technology Finance Corporation,0.21%
Financial,190.63B,United Kingdom,Foreign Money Center Banks,12.41,2987,"673,223",49.75,HSBC,HSBC Holdings plc,-0.66%
Basic Materials,1.56B,USA,Industrial Metals & Minerals,-,2988,"469,199",19.36,HSC,Harsco Corporation,-3.97%
Services,11.55B,USA,Medical Equipment Wholesale,25.84,2989,"283,181",137.20,HSIC,"Henry Schein, Inc.",1.14%
Services,365.37M,USA,Staffing & Outsourcing Services,48.83,2990,"58,941",20.02,HSII,Heidrick & Struggles International Inc.,-2.72%
Healthcare,98.53M,USA,Medical Laboratories & Research,32.48,2991,"6,301",15.59,HSKA,Heska Corporation,0.65%
Services,3.82B,USA,"Specialty Retail, Other",23.60,2992,"139,496",72.93,HSNI,"HSN, Inc.",0.40%
Technology,168.37M,China,Semiconductor - Specialized,-,2993,"700,005",1.69,HSOL,"Hanwha SolarOne Co., Ltd",-7.14%
Services,92.87M,USA,Staffing & Outsourcing Services,-,2994,"23,194",2.81,HSON,"Hudson Global, Inc",-0.18%
Healthcare,10.09B,USA,Drugs - Generic,30.58,2995,"393,974",59.64,HSP,Hospira Inc.,-1.08%
Financial,-,USA,Exchange Traded Fund,-,2996,"2,010",46.30,HSPX,Horizons S&P 500 Covered Call ETF,-0.21%
Financial,17.60B,USA,REIT - Hotel/Motel,33.20,2997,"3,094,514",23.24,HST,"Host Hotels & Resorts, Inc.",0.30%
Technology,225.68M,USA,Scientific & Technical Instruments,18.77,3025,"10,616",34.72,HURC,Hurco Companies Inc.,-4.17%
Services,1.58B,USA,Management Services,18.01,3026,"61,003",69.16,HURN,Huron Consulting Group Inc.,0.41%
Basic Materials,11.29M,USA,Independent Oil & Gas,-,3027,"22,993",0.22,HUSA,Houston American Energy Corp.,2.84%
Financial,-,USA,Exchange Traded Fund,-,3028,"1,470",39.34,HUSE,Huntington US Equity Rotation Strat ETF,-0.02%
Financial,500.40M,USA,Regional - Northeast Banks,-,3029,"18,930",25.02,HVB,Hudson Valley Holding Corp.,-2.68%
Financial,-,USA,Exchange Traded Fund,-,3030,"4,113",23.91,HVPW,US Equity High Volatility Put Write ETF,-0.22%
Services,478.48M,USA,Home Furnishing Stores,18.64,3031,"24,988",21.06,HVT,Haverty Furniture Companies Inc.,-0.66%
Industrial Goods,1.03B,USA,General Building Materials,70.00,3032,"268,155",14.00,HW,Headwaters Incorporated,-0.64%
Healthcare,551.38M,USA,Specialized Health Services,-,3033,"525,231",15.58,HWAY,Healthways Inc.,-1.08%
Financial,78.60M,USA,Regional - Northeast Banks,10.64,3034,"2,567",15.00,HWBK,"Hawthorn Bancshares, Inc.",8.70%
Services,224.73M,USA,Industrial Equipment Wholesale,15.83,3035,"35,712",12.82,HWCC,Houston Wire & Cable Company,-2.14%
Basic Materials,418.85M,USA,Specialty Chemicals,20.98,3036,"11,535",39.44,HWKN,Hawkins Inc.,-0.30%
Industrial Goods,4.13B,USA,Aerospace/Defense Products & Services,21.22,3037,"187,086",43.29,HXL,Hexcel Corp.,-1.03%
Consumer Goods,1.19B,USA,Trucks & Other Vehicles,11.31,3038,"34,096",73.41,HY,"Hyster-Yale Materials Handling, Inc.",-3.79%
Technology,99.33M,USA,Diversified Electronics,-,3005,"111,340",3.54,HTCH,Hutchinson Technology Inc.,-1.12%
Financial,-,USA,Closed-End Fund - Equity,-,3006,"37,028",22.35,HTD,John Hancock Tax Advantaged Dividend Income Fund,0.22%
Financial,1.01B,USA,Mortgage Investment,13.57,3007,"155,039",15.74,HTGC,"Hercules Technology Growth Capital, Inc.",0.13%
Financial,1.62B,USA,Mortgage Investment,16.75,3008,"2,859",25.62,HTGZ,"Hercules Technology Growth Capital, Inc.",-0.19%
Financial,1.84B,USA,Mortgage Investment,16.70,3009,"102,548",20.38,HTH,Hilltop Holdings Inc.,-2.44%
Services,1.55B,China,Lodging,32.86,3010,"21,026",24.97,HTHT,"China Lodging Group, Limited",-0.48%
Services,2.33B,USA,Trucking,29.48,3011,"234,050",26.53,HTLD,"Heartland Express, Inc.",1.03%
Financial,463.29M,USA,Regional - Southwest  Banks,12.73,3012,"18,192",25.07,HTLF,"Heartland Financial USA, Inc.",-2.07%
Utilities,49.33M,USA,Diversified Utilities,23.75,3013,"138,983",0.47,HTM,U.S. Geothermal Inc.,-5.00%
Financial,-,USA,Closed-End Fund - Debt,-,3014,"22,411",25.50,HTR,"Helios Total Return Fund, Inc.",0.39%
Financial,1.85B,USA,REIT - Residential,36.85,3015,"270,229",19.16,HTS,Hatteras Financial Corp,0.00%
Conglomerates,247.22M,USA,Conglomerates,-,3016,0,10.48,HTWO,HF2 Financial Management Inc.,0.00%
Healthcare,1.25B,USA,Medical Instruments & Supplies,-,3017,"106,590",73.53,HTWR,Heartware International Inc.,-0.74%
Financial,-,USA,Closed-End Fund - Equity,-,3018,"28,264",12.89,HTY,John Hancock Tax-Advantaged Glo,0.62%
Services,10.87B,USA,Rental & Leasing Services,31.65,3019,"5,550,565",23.74,HTZ,"Hertz Global Holdings, Inc.",-2.18%
Financial,-,USA,Exchange Traded Fund,-,3041,"28,909",24.76,HYEM,Market Vectors EM High Yield Bd ETF,-0.20%
Financial,-,USA,Closed-End Fund - Debt,-,3042,"76,493",1.98,HYF,Managed High Yield Plus Fund Inc.,0.00%
Financial,-,USA,Exchange Traded Fund,-,3043,"5,290,496",91.13,HYG,iShares iBoxx $ High Yield Corporate Bd,-0.96%
Financial,-,USA,Exchange Traded Fund,-,3044,515,95.62,HYGH,iShares Interest Rate Hedged High Yld Bd,-0.54%
Financial,-,USA,Exchange Traded Fund,-,3061,"16,130",49.56,IAK,iShares US Insurance,-0.26%
Healthcare,1.61B,USA,Medical Instruments & Supplies,53.52,3062,"81,105",49.24,IART,Integra LifeSciences Holdings Corporation,-0.26%
Healthcare,7.47B,USA,Medical Appliances & Equipment,446.67,2957,"562,434",26.80,HOLX,Hologic Inc.,1.21%
Financial,2.14B,USA,Money Center Banks,21.54,2958,"94,310",31.67,HOMB,"Home Bancshares, Inc.",-2.04%
Industrial Goods,77.55B,USA,Diversified Machinery,18.73,2959,"1,549,101",99.07,HON,Honeywell International Inc.,-0.01%
Basic Materials,964.20M,USA,Oil & Gas Equipment & Services,10.70,2960,"669,057",26.54,HOS,"Hornbeck Offshore Services, Inc.",-11.53%
Technology,791.60M,USA,Healthcare Information Services,84.26,2998,"57,377",28.65,HSTM,Healthstream Inc.,-0.45%
Consumer Goods,22.15B,USA,Confectioners,27.25,2999,"931,282",100.28,HSY,The Hershey Company,1.72%
Financial,1.69B,USA,REIT - Hotel/Motel,30.87,3000,"1,066,246",7.41,HT,Hersha Hospitality Trust,0.14%
Financial,-,USA,Closed-End Fund - Debt,-,3039,"101,673",9.44,HYB,"New America High Income Fund, I",-0.11%
Financial,-,USA,Exchange Traded Fund,-,3040,"172,867",30.99,HYD,Market Vectors High-Yield Municipal ETF,0.06%
Technology,6.35B,USA,Diversified Electronics,19.56,3020,"140,481",106.80,HUB-B,Hubbell Inc.,-1.58%
Industrial Goods,142.71M,Canada,Industrial Electrical Equipment,-,3045,"103,154",14.06,HYGS,Hydrogenics Corporation,-8.64%
Healthcare,-,USA,Medical Instruments & Supplies,-,3046,"226,492",39.21,HYH,"Halyard Health, Inc.",0.28%
Financial,-,USA,Exchange Traded Fund,-,3047,"11,712",74.47,HYHG,ProShares High Yield—Interest Rate Hdgd,-1.36%
Financial,-,USA,Exchange Traded Fund,-,3048,"624,771",45.05,HYLD,Peritus High Yield ETF,-3.20%
Financial,-,USA,Exchange Traded Fund,-,3049,"30,306",57.18,HYMB,SPDR Nuveen S&P High Yield Muni Bd ETF,0.09%
Financial,-,USA,Exchange Traded Fund,-,3050,"152,450",103.28,HYS,PIMCO 0-5 Year High Yield Corp Bd ETF,-0.94%
Financial,-,USA,Closed-End Fund - Debt,-,3051,"345,772",11.61,HYT,"BlackRock Corporate High Yield Fund VI, Inc.",-0.26%
Financial,-,USA,Exchange Traded Fund,-,3052,"5,869",52.76,HYXU,iShares Global ex USD High Yield Corp Bd,-0.47%
Healthcare,1.52B,Ireland,Drugs - Generic,-,3053,"594,321",12.78,HZNP,Horizon Pharma plc,-0.85%
Services,460.16M,USA,"Specialty Retail, Other",41.13,3054,"122,688",18.51,HZO,Marinemax Inc.,-0.43%
Technology,1.87B,Luxembourg,Diversified Communication Services,6.57,3055,"64,336",17.61,I,Intelsat S.A.,-0.23%
Technology,5.47B,USA,Internet Information Providers,23.31,3056,"323,321",65.28,IACI,IAC/InterActiveCorp,-0.24%
Financial,-,USA,Closed-End Fund - Foreign,-,3057,"21,294",12.11,IAE,Voya Asia Pacific High Dividend,0.00%
Financial,-,USA,Closed-End Fund - Foreign,-,3058,"68,377",7.38,IAF,Aberdeen Australia Equity Fund,-2.12%
Basic Materials,798.38M,Canada,Gold,-,3059,"5,720,028",2.11,IAG,IAMGOLD Corp.,-10.21%
Financial,-,USA,Exchange Traded Fund,-,3063,"54,531",34.16,IAT,iShares US Regional Banks,-1.19%
Financial,-,USA,Exchange Traded Fund,-,3064,"10,942,380",11.29,IAU,iShares Gold Trust,-2.67%
Consumer Goods,2.85B,Mexico,Farm Products,15.13,3065,"5,058",56.58,IBA,Industrias Bachoco S.A.B. de C.V.,-0.61%
Financial,6.38B,USA,Exchange Traded Fund,-,3066,"494,359",303.90,IBB,iShares Nasdaq Biotechnology,0.01%
Financial,217.78M,USA,Credit Services,12.21,3067,"47,097",9.89,IBCA,Intervest Bancshares Corp.,-0.70%
Financial,-,USA,Exchange Traded Fund,-,3068,0,99.89,IBCB,iShares iBonds Mar 2016 Corp ex-Fincls,0.00%
Financial,-,USA,Exchange Traded Fund,-,3069,836,99.11,IBCC,iShares iBonds Mar 2018 Corp ex-Fincls,0.07%
Financial,-,USA,Exchange Traded Fund,-,3070,448,98.75,IBCD,iShares iBonds Mar 2020 Corp ex-Fincls,0.38%
Financial,-,USA,Exchange Traded Fund,-,3071,"1,760",97.14,IBCE,iShares iBonds Mar 2023 Corp ex-Fincls,0.23%
Financial,278.84M,USA,Regional - Midwest Banks,15.00,3072,"38,906",12.15,IBCP,Independent Bank Corporation,-2.17%
Financial,-,USA,Exchange Traded Fund,-,3073,0,101.02,IBDA,iShares iBonds Mar 2016 Corporate,0.00%
Financial,-,USA,Exchange Traded Fund,-,3074,0,102.72,IBDB,iShares iBonds Mar 2018 Corporate,0.00%
Financial,-,USA,Exchange Traded Fund,-,3075,600,105.38,IBDC,iShares iBonds Mar 2020 Corporate,0.45%
Financial,-,USA,Exchange Traded Fund,-,3076,674,105.77,IBDD,iShares iBonds Mar 2023 Corporate,0.12%
Financial,-,USA,Exchange Traded Fund,-,3077,0,100.56,IBDF,iShares iBonds Dec 2016 Corporate,0.00%
Financial,-,USA,Exchange Traded Fund,-,3060,"21,138",40.72,IAI,iShares US Broker-Dealers,0.17%
Financial,-,USA,Exchange Traded Fund,-,3078,0,100.30,IBDH,iShares iBonds Dec 2018 Corporate,0.00%
Healthcare,76.18M,USA,Biotechnology,-,3079,"703,046",1.06,IBIO,"iBio, Inc.",-2.03%
Financial,2.18B,USA,Regional - Southeast Banks,21.99,3080,"87,387",65.32,IBKC,IberiaBank Corp.,-3.34%
Financial,1.60B,USA,Investment Brokerage - National,37.42,3081,"185,302",27.32,IBKR,"Interactive Brokers Group, Inc.",-0.07%
Financial,-,USA,Exchange Traded Fund,-,3082,"17,293",26.02,IBLN,Direxion iBillionaire Index ETF,-0.57%
Healthcare,104.41M,USA,Biotechnology,-,3101,"8,739",6.60,ICEL,"Cellular Dynamics International, Inc.",-2.65%
Financial,-,USA,Exchange Traded Fund,-,3102,"465,276",96.02,ICF,iShares Cohen & Steers REIT,0.33%
Services,752.33M,USA,Management Services,19.99,3103,"37,272",38.78,ICFI,ICF International Inc.,-1.87%
Technology,160.49B,USA,Information Technology Services,10.18,3083,"2,404,987",162.17,IBM,International Business Machines Corporation,0.14%
Financial,-,USA,Exchange Traded Fund,-,3084,"1,427",52.75,IBMD,iShares iBonds Sep 2015 AMT-Free Muni Bd,0.16%
Financial,-,USA,Exchange Traded Fund,-,3085,"1,693",53.36,IBME,iShares iBonds Sep 2016 AMT-Free Muni Bd,-0.01%
Financial,-,USA,Exchange Traded Fund,-,3086,"1,588",55.22,IBMF,iShares iBonds Sep 2017 AMT-Free Muni Bd,0.02%
Financial,-,USA,Exchange Traded Fund,-,3087,"5,405",25.63,IBMG,iShares iBonds Sep 2018 AMT-Free Muni Bd,0.07%
Financial,-,USA,Exchange Traded Fund,-,3088,"1,002",25.51,IBMH,iShares iBonds Sep 2019 AMT-Free Muni Bd,0.20%
Financial,-,USA,Exchange Traded Fund,-,3089,0,25.24,IBMI,iShares iBonds Sep 2020 AMT-Free Muni Bd,0.00%
Financial,31.77B,India,Money Center Banks,34.24,3090,"963,992",58.89,IBN,ICICI Bank Ltd.,2.26%
Financial,-,USA,Exchange Traded Fund,-,3091,"63,032",35.03,IBND,SPDR Barclays International Corp Bd ETF,-0.43%
Financial,1.70B,USA,Regional - Southwest  Banks,11.14,3092,"185,756",25.52,IBOC,International Bancshares Corporation,-5.06%
Industrial Goods,541.28M,USA,General Building Materials,-,3093,"29,693",17.00,IBP,"Installed Building Products, Inc.",-0.29%
Financial,730.16M,USA,Regional - Southeast Banks,28.22,3094,"28,196",42.90,IBTX,"Independent Bank Group, Inc.",-3.42%
Financial,-,USA,Exchange Traded Fund,-,3104,0,41.89,ICI,iPath Optimized Currency Carry ETN,0.00%
Technology,61.93M,USA,Information Technology Services,-,3105,"84,937",3.63,ICLD,"InterCloud Systems, Inc.",-1.36%
Financial,-,USA,Exchange Traded Fund,-,3106,"13,671",10.23,ICLN,iShares Global Clean Energy,-2.92%
Healthcare,3.42B,Ireland,Medical Laboratories & Research,25.36,3107,"256,881",55.54,ICLR,ICON Public Limited Company,0.89%
Financial,-,USA,Exchange Traded Fund,-,3108,"3,587",21.16,ICN,WisdomTree Indian Rupee Strategy ETF,-0.50%
Financial,-,USA,Exchange Traded Fund,-,3109,"1,555",20.09,ICOL,iShares MSCI Colombia Capped,-6.99%
Consumer Goods,1.94B,USA,Textile - Apparel Footwear & Accessories,15.25,3110,"209,347",40.41,ICON,"Iconix Brand Group, Inc.",-0.25%
Healthcare,3.07B,USA,Drug Manufacturers - Major,-,3111,"399,066",143.73,ICPT,"Intercept Pharmaceuticals, Inc.",-4.47%
